ID,NOME,RISCHIO_EROSIONE,DATA_ISCRIZIONE,AMBITO_LOCALE,MODICA_QUANTITA,SEZIONE_REGISTRO,TIPOLOGIA_RISORSA,FAMIGLIA,GENERE,SPECIE,NOME_COMUNE,SIGNIFICATO_NOME,SINONIMI,NOME_DIALETTALE,LUOGO_CONSERVAZIONE,SCHEDA_PORTALE
1,Fagiolina del Trasimeno,Medio,41589,"Comprensorio del Trasimeno (Comuni di Castiglione del Lago, Passignano sul Trasimeno, Tuoro sul Trasimeno, Magione, Città della Pieve, Piegaro, Corciano, Panicale, Paciano)",200 grammi,Vegetale,Erbacea,Fabaceae,Vigna,Vigna unguiculata (L.) Walp. subsp. unguiculata cv-gr. unguiculata,Fagiolina del Trasimeno,-,fagiolina del lago; fagiolina; fagiolina occhio nero; fagiolina dall’occhio; fagioli dall’occhio; fagioli cornetti (se consumata per i baccelli immaturi),-,"Banca del germoplasma del Dipartimento di Scienze Agrarie, Alimentari e Ambientali, Università degli Studi di Perugia (DSA3-UniPG); Banca del Germoplasma della Regione Umbria, gestita dal DSA3-UniPG.",https://biodiversita.umbria.parco3a.org/risorsa/fagiolina-del-trasimeno/
2,Mela Conventina,Elevato,11/11/2013,"Comuni di Gubbio, Gualdo Tadino, Pietralunga, Valfabbrica, Scheggia, Perugia, Città di Castello e Monte Santa Maria Tiberina",10 marze,Vegetale,Arborea,Rosaceae,Malus,M. domestica Borkh,Mela Conventina,"Legato alla presunta origine in ambiente monastico, conventuale","Comentina (Comune di Cantiano, Provincia di Pesaro-Urbino)",-,"Banca del germoplasma in vitro e Campo collezione presso 3A-PTA a Todi (PG); Campo collezione Fondazione per l’Istruzione Agraria, Deruta (PG); Az. Agraria “Archeologia Arborea”, Città di Castello (PG).",https://biodiversita.umbria.parco3a.org/risorsa/mela-conventina/
3,Pera Monteleone,Elevato,11/11/2013,"Comuni di Orvieto, Monteleone di Orvieto, Allerona, Ficulle, Castel Giorgio, Montecchio, Baschi, Guardea, Alviano, Amelia, Montecastrilli e Todi.",10 marze,Vegetale,Arborea,Rosaceae,Pyrus,P. communis L.,Pera Monteleone,Forse legato al Paese di Monteleone di Orvieto,Pera papera,Muntiliona,"Banca del germoplasma in vitro e Campo collezione presso 3A-PTA a Todi (PG); Campo collezione Fondazione per l’Istruzione Agraria, Deruta (PG); Az. Agraria “Archeologia Arborea”, Città di Castello (PG).",https://biodiversita.umbria.parco3a.org/risorsa/pera-monteleone/
4,Pesca Marscianese,Elevato,11/11/2013,Comune di Marsciano,10 marze,Vegetale,Arborea,Rosaceae,Prunus,P. persica(L.) Batsch.,Pesca Marscianese,Legato al territorio di Marsciano,-,-,Banca del germoplasma in vitro e Campo collezione presso 3A-PTA a Todi (PG).,https://biodiversita.umbria.parco3a.org/risorsa/pesca-marscianese/
5,Pecora Appenninica,Minacciata,11/11/2013,Regione Umbria,1 maschio e 3 femmine,Animale,Ovini,"Bovidi, Cavicorni",Ovis,O. aries L.,Pecora Appenninica,Legata all'ambiente di antica presenza sugli Appennini,"Vissana, Casentinese, Senese delle Crete, Barisciana, Pagliarola, Pomarancina, Perugina del Piano.",-,Nessuno,https://biodiversita.umbria.parco3a.org/risorsa/pecora-appenninica/
6,Pecora Sopravissana,Minacciata,11/11/2013,Regione Umbria,1 maschio e 3 femmine,Animale,Ovini,"Bovidi, Cavicorni",Ovis,O. aries L.,Pecora Sopravissana,Tradizionalmente allevata nella zona montana sopra il paese di Visso (MC),Maremmana,-,Nessuno,https://biodiversita.umbria.parco3a.org/risorsa/pecora-sopravissana/
7,Mela Coccianese,Elevato,12/03/2014,"Comune di Guardea, Baschi, Montecchio, Alviano, Lugnano in Teverina",10 marze,Vegetale,Arborea,Rosaceae,Malus,M. domestica Borkh,Mela Coccianese,Legato al paese di Cocciano nel Comune di Guardea (TR),-,-,Banca del germoplasma in vitro e Campo collezione presso 3A-PTA a Todi (PG).,https://biodiversita.umbria.parco3a.org/risorsa/mela-coccianese/
8,Mela Spoletina,Elevato,12/03/2014,"Comuni di Norcia, Spoleto",10 marze,Vegetale,Arborea,Rosaceae,Malus,M. domestica Borkh,Mela Spoletina,-,-,-,Banca del germoplasma in vitro e Campo collezione presso 3A-PTA a Todi (PG).,https://biodiversita.umbria.parco3a.org/risorsa/mela-spoletina/
9,Olivo Moraiolo,Non a rischio,12/03/2014,Regione Umbria,10 marze,Vegetale,Arborea,Oleaceae,Olea,O. europea L. subsp. europea,Olivo Moraiolo,-,"Assisano, Fosco, Carboncella, Morella, Morello, Morellino",-,"Collezione in vivo CRA-OLI, Collesecco, Spoleto; Collezione in vivo Università di Perugia, Dip. Di Scienze Agrarie, Alimentari ed Ambientali; Collezione in vivo CNR-ISAFOM, presso il Campo Collezione di Lugnano in Teverina (TR).",https://biodiversita.umbria.parco3a.org/risorsa/olivo-moraiolo/
10,Olivo Dolce Agogia,Medio - Basso,12/03/2014,"Comuni di Castiglione del Lago, Passignano sul Trasimeno, Tuoro sul Trasimeno, Magione, Città della Pieve, Piegaro, Corciano, Panicale, Paciano",10 marze,Vegetale,Arborea,Oleaceae,Olea,O. europea L. subsp. europea,Olivo Dolce Agogia,-,"Dolce, Gogio",-,"Collezione in vivo CRA-OLI, Collesecco, Spoleto; Collezione in vivo Università di Perugia, Dip. Di Scienze Agrarie, Alimentari ed Ambientali; Collezione in vivo CNR-ISAFOM, presso il Campo Collezione di Lugnano in Teverina (TR).",https://biodiversita.umbria.parco3a.org/risorsa/olivo-dolce-agogia/
